Date,SMB,HML,WML,MF,RF,fama,EPWRF,
2017-03,1.348956162,0.55079281,1.902473046,2.649807032,0.512645569,6.151746825,5.8069,-0.344846825
2017-04,6.0066206,0.161868144,3.983865748,2.008080327,0.422357949,5.068295392,5.9631,0.894804608
2017-05,-2.898394535,-5.662444979,2.247418035,-0.257634426,0.537627438,6.451529262,6.2434,-0.208129262
2017-06,1.676734852,1.609117762,-0.777536172,-0.540031661,0.515065665,6.180787976,6.2584,0.077612024
2017-07,-0.387813758,6.314660556,0.158994158,4.04600168,0.507875289,6.094503472,6.1981,0.103596528
2017-08,-4.128380959,3.233227328,7.833497593,-0.234714395,0.502155029,6.025860349,6.1043,0.078439651
2017-09,0.649329535,1.239283107,-1.938330364,-1.488321935,0.500304616,6.003655397,6.0695,0.065844603
2017-10,1.846207746,6.986001916,3.660945801,8.16502225,0.477855963,5.734271559,5.9384,0.204128441
2017-11,5.442713282,-3.698001757,-0.163718689,0.034237735,0.529143503,6.349722033,6.0681,-0.281622033
2017-12,0.753406653,5.79612679,-2.046975759,4.49055496,0.487321709,5.847860511,6.1254,0.277539489
2018-01,-3.292763282,-0.931033737,0.418274982,-0.571958934,0.54897499,6.587699879,6.216,-0.371699879
2018-02,-1.297224088,-2.323139309,2.140556451,-3.54464216,0.475574663,5.706895958,6.2623,0.555404042
2018-03,-2.835558096,-6.861599004,4.751687146,-5.275201913,0.466474907,5.597698885,6.1727,0.575001115
2018-04,0.866901747,-0.959252445,4.107466057,6.524273631,0.503869236,6.04643083,6.0976,0.05116917
2018-05,-4.399156683,-1.979705962,2.103741089,-4.16427473,0.548080767,6.576969199,6.2413,-0.335669199
2018-06,-6.740002855,-4.807612702,0.796973815,-2.912897166,0.539888953,6.478667435,6.4193,-0.059367435
2018-07,-0.36922547,-1.753788568,2.403707427,4.6561189,0.570702554,6.848430643,6.5043,-0.344130643
2018-08,-1.593629976,0.244830403,4.985413195,4.397299813,0.562281971,6.747383654,6.7396,-0.007783654
2018-09,-10.3208694,-2.608806222,5.20101937,-8.153375213,0.496116142,5.953393705,6.8935,0.940106295
2018-10,5.230223154,2.31457772,-0.615792175,-5.824129175,0.583528903,7.002346836,6.7471,-0.255246836
2018-11,-0.117617139,-3.708480292,0.419257728,2.256618777,0.546562712,6.55875255,6.7516,0.19284745
2018-12,0.925386702,1.379448364,-4.705380942,-0.342337064,0.529852659,6.358231909,6.6147,0.256468091
2019-01,-4.362785478,-4.774634452,5.311945648,-2.570971327,0.604782433,7.257389198,6.5425,-0.714889198
2019-02,-4.720441099,-1.229687164,-2.117296236,-0.689552264,0.511699797,6.140397565,6.4132,0.272802435
2019-03,1.722189065,0.479962583,-2.390070759,5.572922558,0.477009242,5.724110903,6.3078,0.583689097
2019-04,-2.985716956,-2.15816069,3.413815599,0.363382555,0.474445066,5.693340797,5.9201,0.226759203
2019-05,1.612765105,-1.060387849,2.289923438,-1.015037016,0.55633418,6.676010164,5.7918,-0.884210164
2019-06,-5.901156483,-3.626531969,7.35919073,-2.431442706,0.452801168,5.433614015,5.4787,0.045085985
2019-07,-4.890418092,-6.765117613,11.19739225,-6.78763536,0.533391488,6.40069785,5.3616,-1.03909785
2019-08,-0.02407554,-9.082846092,6.845370999,0.18939663,0.434972426,5.219669111,5.1376,-0.082069111
2019-09,-0.171022257,2.429022621,-2.494007159,4.169706635,0.397102355,4.765228262,5.0177,0.252471738
2019-10,-3.240908096,-2.459036389,5.061962158,4.065126078,0.403203791,4.838445489,4.9686,0.130154511
2019-11,-3.503387762,4.671308544,-8.692130149,-1.824451903,0.389361251,4.672335015,4.9603,0.287964985
2019-12,-1.320664663,-0.031893514,3.268324487,-0.314928427,0.40558739,4.867048684,5.0844,0.217351316
2020-01,8.02403439,-3.613797265,0.858137405,0.787612896,0.452300921,5.427611056,4.979,-0.448611056
2020-02,-0.736678502,-8.690996911,10.62354405,-6.377777598,0.398135947,4.777631362,3.9895,-0.788131362
2020-03,-13.69537863,-7.446277732,13.9036219,-18.9218211,0.405673262,4.868079144,3.4194,-1.448679144
2020-04,1.899856777,6.871683688,-11.90813573,13.92485307,0.297232676,3.566792111,3.2788,-0.287992111
2020-05,-4.626390102,1.489782373,1.259565876,0.464951353,0.288282781,3.459393367,3.2125,-0.246893367
2020-06,9.131108116,13.69627974,-8.04048189,7.775157003,0.324346113,3.892153354,3.2571,-0.635053354
